customer_id,first_name,last_name,email,phone_number,address,city,country,credit_card_number,credit_card_expire
28c5db3f-d31c-4833-91d5-0451e6781a98,Joseph,Williams,wileymonica@example.org,8166410374,"8059 Booker Valleys
Port Christopherbury, IL 69163",North Rebeccaland,North Macedonia,4651354160132762,07/28
6d1a4eeb-d700-4539-a0e9-4194cc19ffa5,David,Foster,sullivanemily@example.com,843-663-7646x4128,"5227 Ewing Loop
Port Tara, NH 04477",North Daniellechester,French Guiana,30199138031095,01/34
090e7350-53f2-4068-956d-259bfb097a6b,John,Lopez,rogernolan@example.net,(793)453-4203x13996,"265 Becky Street Apt. 657
New Kayla, NY 70548",Andrewside,Mongolia,38324364810390,03/33
2424243c-f18f-45f7-ac64-7aedd4d87877,Robert,Church,druiz@example.net,541.760.2510,"036 Williams Plains
Youngtown, TN 51073",South Manuel,Guernsey,3514719909348128,06/28
0d2bf655-f548-4622-9b19-48e849425435,Eric,Prince,martinbrady@example.org,001-340-619-8793x600,"20497 Donna Alley
Jonesside, IL 86925",South Mariaview,Estonia,2249982102481609,05/27
4a79d0c9-19f6-4f92-85d6-f7b81c644209,Brittany,Johnston,russellscott@example.org,(564)517-4359x982,"PSC 0421, Box 7194
APO AA 26828",Lake Ashley,Sri Lanka,30464524120906,06/31
0160494c-c565-4cf8-9060-800fb459d3cd,Erin,Baker,dkennedy@example.com,(799)661-5950,"0466 Carney Drive
Suzanneshire, SC 15305",Kariburgh,Fiji,4942948804116,01/35
7ccab09b-14a8-4204-b1a9-6a51960f0ef9,Jennifer,Knox,erik60@example.com,(374)688-8555x422,"1852 Kimberly Way Apt. 650
Ruthton, WY 41016",Greenebury,Germany,4047618491614,07/33
4f7ac975-6068-42e7-b49a-ace21872f86f,Eric,Ramos,scott39@example.org,001-931-952-1620,"015 Webster Grove
Edwardsside, MD 06178",Ericatown,Canada,345999538807428,09/31
5db167b6-6421-453e-ae83-f710ead20c80,Kelly,Castro,upennington@example.net,+1-434-482-6718,"4822 Ortiz Mission
Garciaton, MA 92823",Kirbyport,Lithuania,4074750814804533,12/29
794c4b56-7c81-43d0-88d6-47b79603bc0d,Richard,Jones,donna97@example.org,(621)703-8777,"Unit 1202 Box 8612
DPO AA 73007",Rosemouth,Monaco,2428014252107272,04/26
4e7f419c-a601-49c7-aa8a-b84ae81e4cc9,Allison,Rodriguez,valerie58@example.com,(799)294-6080,"2349 Gomez Summit
Warrenborough, MI 07444",Matthewstad,Malaysia,4178287798776664099,02/33
71db030a-d6c3-4e69-9351-932d5e9116d1,Jeffrey,Wilkinson,ashleytaylor@example.org,001-685-439-9504x7464,"5436 Joseph Run Apt. 469
Wyattberg, PR 59099",Lake Charleschester,Azerbaijan,6011451343748223,10/26
7aaa83e1-643e-42b6-996f-195fe87b7764,Lori,Ward,stephanieroman@example.com,+1-824-759-1447x1746,"92149 Mark Center Suite 334
Craigchester, CA 83561",Port Austin,Portugal,4886294280340894,06/28
890e06dc-3200-421a-a989-fddcf5d1ed76,Daniel,Ballard,cshaffer@example.org,806.312.3563,"5698 Marshall Lane Suite 875
Jenniferton, MO 15741",Harthaven,New Zealand,6584713175739712,08/31
ac2494eb-42f7-4fbc-be74-e76746bb3cbc,Luke,Parker,edward12@example.net,(413)583-2234,"0748 Heather Lodge Apt. 329
Matthewside, MO 19014",West Vanessafort,Trinidad and Tobago,4630513739565,11/34
b5fcfcf5-5cd3-4054-99f7-0505294a783e,Seth,Cain,murphytara@example.com,(250)729-0632,"81612 Luna Roads Suite 110
Brewerland, CO 66426",Lake Jamesstad,Peru,639074827416,07/27
9e0cd67e-f3a0-41bb-9223-67bc43ced721,Diane,Harrington,lesliesparks@example.org,+1-595-766-3159x2393,"656 Joseph Turnpike
North Denise, AZ 99886",New Ricky,Bahamas,376705072619331,08/34
e851783e-929e-4a91-96a4-13807cf934e6,Robert,Perez,kromero@example.com,(340)770-0073x6734,"874 Smith Canyon
North Cynthia, MI 28498",East Austin,Spain,180073611905646,09/31
babd5022-3ea2-4599-9c3b-46de35d2be0d,Jennifer,Mathews,carriejohnson@example.com,(905)582-6199x5194,"008 Noble Springs
East Andrewmouth, CA 14527",Michaelburgh,Cameroon,4935671433188730745,02/33
c890bc75-9802-4561-a837-1428134cbdf9,Laurie,Ferrell,imiller@example.org,(282)536-9252x90070,"04095 Taylor Trace Suite 129
Riosstad, FL 86767",Thompsonborough,Japan,180089343142555,08/32
0873a997-5b27-4c11-82eb-f48338e623dc,John,Santiago,jennifer00@example.com,+1-873-941-9129x229,"3954 Edwards Divide Apt. 620
Christyberg, MA 60080",North Jason,Nigeria,3559859321918995,05/28
861e5ada-a191-44d3-89df-de81b7f51d06,Kaitlyn,Ramirez,umcmillan@example.net,(632)728-5437x19670,"2285 Martin Cape
North Dianemouth, MA 53335",Veronicaside,Israel,4558005659621,11/25
09f19a51-9e22-4748-8865-396dc4b82b14,Kathy,Best,opierce@example.com,(664)970-2305,"752 Amanda Forks Apt. 712
Evanmouth, AZ 69363",North Antonio,Dominican Republic,213185036937003,04/33
cab55a0f-c4fb-4bc2-ab34-0bd6a63f3ec9,Jonathan,Mcguire,adamsdonald@example.org,440.850.8618x1887,"21706 Martin Village Apt. 302
Port Elizabethchester, PR 38313",Nicholsonbury,Marshall Islands,3599607732082998,01/26
197aea04-3e30-4399-b1ce-e9f9e3ab051b,Becky,Stevens,katherinereilly@example.net,(602)680-2945,"3528 Angel Parkway
Ralphberg, VT 38154",East Samantha,Guinea-Bissau,6011697182893591,02/27
